Calling Component Name,Calling Component Type,,App Name,App Owner,Called Component Name,Called Component Type,Call Type
AENDNYB2,COBOL,AENDNYB2COBOL,Actuarial,"Hutto, Amy",SQLCA,DCLGEN,
AENDNYB2,COBOL,AENDNYB2COBOL,Actuarial,"Hutto, Amy",CEE3ABD,COBOL,STATIC
AHCB0060,COBOL,AHCB0060COBOL,Actuarial,"Hutto, Amy",UTCCHDRS,COPYBOOK,
AHCB0060,COBOL,AHCB0060COBOL,Actuarial,"Hutto, Amy",UTCC1001,COPYBOOK,
AHCB0060,COBOL,AHCB0060COBOL,Actuarial,"Hutto, Amy",UTCC1003,COPYBOOK,
AHCB0060,COBOL,AHCB0060COBOL,Actuarial,"Hutto, Amy",UTAB1001,COBOL,DYNAMIC
AHCB0060,COBOL,AHCB0060COBOL,Actuarial,"Hutto, Amy",UTAB1003,COBOL,DYNAMIC
AHCB0200,COBOL,AHCB0200COBOL,Actuarial,"Hutto, Amy",DSTBLMAC,COPYBOOK,
AHCB0200,COBOL,AHCB0200COBOL,Actuarial,"Hutto, Amy",BPCCE2C0,COPYBOOK,
AHCB0200,COBOL,AHCB0200COBOL,Actuarial,"Hutto, Amy",DSTBLMAN,COBOL,DYNAMIC
AHCB0200,COBOL,AHCB0200COBOL,Actuarial,"Hutto, Amy",CEE3ABD,COBOL,STATIC
AHCB0210,COBOL,AHCB0210COBOL,Actuarial,"Hutto, Amy",BPCCE2C0,COPYBOOK,
AHCB0210,COBOL,AHCB0210COBOL,Actuarial,"Hutto, Amy",CEE3ABD,COBOL,STATIC
ARSCC600,COBOL,ARSCC600COBOL,Actuarial,"Hutto, Amy",DSTBLMAC,COPYBOOK,
ARSCC600,COBOL,ARSCC600COBOL,Actuarial,"Hutto, Amy",BPCCE2C0,COPYBOOK,
ARSCC600,COBOL,ARSCC600COBOL,Actuarial,"Hutto, Amy",DSTBLMAN,COBOL,DYNAMIC
ARSCC600,COBOL,ARSCC600COBOL,Actuarial,"Hutto, Amy",CEE3ABD,COBOL,STATIC
ARSCC610,COBOL,ARSCC610COBOL,Actuarial,"Hutto, Amy",DSTBLMAC,COPYBOOK,
ARSCC610,COBOL,ARSCC610COBOL,Actuarial,"Hutto, Amy",BPCCE2C0,COPYBOOK,
ARSCC610,COBOL,ARSCC610COBOL,Actuarial,"Hutto, Amy",DSTBLMAN,COBOL,DYNAMIC
ARSCC610,COBOL,ARSCC610COBOL,Actuarial,"Hutto, Amy",CEE3ABD,COBOL,STATIC
ARSCC620,COBOL,ARSCC620COBOL,Actuarial,"Hutto, Amy",DSTBLMAC,COPYBOOK,
ARSCC620,COBOL,ARSCC620COBOL,Actuarial,"Hutto, Amy",BPCCE2C0,COPYBOOK,
ARSCC620,COBOL,ARSCC620COBOL,Actuarial,"Hutto, Amy",DSTBLMAN,COBOL,DYNAMIC
ARSCC620,COBOL,ARSCC620COBOL,Actuarial,"Hutto, Amy",CEE3ABD,COBOL,STATIC
ATCB0012,COBOL,ATCB0012COBOL,Actuarial,"Hutto, Amy",BPCCE2C0,COPYBOOK,
ATCB0012,COBOL,ATCB0012COBOL,Actuarial,"Hutto, Amy",CEE3ABD,COBOL,STATIC
AVCB0500,COBOL,AVCB0500COBOL,Actuarial,"Hutto, Amy",PMRIN,COPYBOOK,
AVCB0500,COBOL,AVCB0500COBOL,Actuarial,"Hutto, Amy",PMREXTR,COPYBOOK,
AVCB0500,COBOL,AVCB0500COBOL,Actuarial,"Hutto, Amy",ABEND,COBOL,STATIC
AVCB0510,COBOL,AVCB0510COBOL,Actuarial,"Hutto, Amy",LONGPREM,COPYBOOK,
AVCB0510,COBOL,AVCB0510COBOL,Actuarial,"Hutto, Amy",CASHVALS,COPYBOOK,
AVCB0510,COBOL,AVCB0510COBOL,Actuarial,"Hutto, Amy",NYEXTR1I,COPYBOOK,
AVCB0510,COBOL,AVCB0510COBOL,Actuarial,"Hutto, Amy",NYEXTR1,COPYBOOK,
AVCB0510,COBOL,AVCB0510COBOL,Actuarial,"Hutto, Amy",DSTBLMAC,COPYBOOK,
AVCB0510,COBOL,AVCB0510COBOL,Actuarial,"Hutto, Amy",Y2KCOBOL,COPYBOOK,
AVCB0510,COBOL,AVCB0510COBOL,Actuarial,"Hutto, Amy",DSTBLMAN,COBOL,DYNAMIC
AVCB0510,COBOL,AVCB0510COBOL,Actuarial,"Hutto, Amy",ABEND,COBOL,STATIC
AVCB0510,COBOL,AVCB0510COBOL,Actuarial,"Hutto, Amy",UTCB9010,COBOL,STATIC
AVCB0520,COBOL,AVCB0520COBOL,Actuarial,"Hutto, Amy",LONGMID,COPYBOOK,
AVCB0520,COBOL,AVCB0520COBOL,Actuarial,"Hutto, Amy",CASHVALS,COPYBOOK,
AVCB0520,COBOL,AVCB0520COBOL,Actuarial,"Hutto, Amy",NYEXTR1I,COPYBOOK,
AVCB0520,COBOL,AVCB0520COBOL,Actuarial,"Hutto, Amy",NYEXTR1,COPYBOOK,
AVCB0520,COBOL,AVCB0520COBOL,Actuarial,"Hutto, Amy",DSTBLMAC,COPYBOOK,
AVCB0520,COBOL,AVCB0520COBOL,Actuarial,"Hutto, Amy",Y2KCOBOL,COPYBOOK,
AVCB0520,COBOL,AVCB0520COBOL,Actuarial,"Hutto, Amy",DSTBLMAN,COBOL,DYNAMIC
AVCB0520,COBOL,AVCB0520COBOL,Actuarial,"Hutto, Amy",ABEND,COBOL,STATIC
AVCB0520,COBOL,AVCB0520COBOL,Actuarial,"Hutto, Amy",UTCB9010,COBOL,STATIC
AVCB0530,COBOL,AVCB0530COBOL,Actuarial,"Hutto, Amy",ANSWFILE,COPYBOOK,
AVCB0530,COBOL,AVCB0530COBOL,Actuarial,"Hutto, Amy",CASHVALS,COPYBOOK,
AVCB0530,COBOL,AVCB0530COBOL,Actuarial,"Hutto, Amy",NYEXTR1I,COPYBOOK,
AVCB0530,COBOL,AVCB0530COBOL,Actuarial,"Hutto, Amy",NYEXTR1,COPYBOOK,
AVCB0530,COBOL,AVCB0530COBOL,Actuarial,"Hutto, Amy",DSTBLMAC,COPYBOOK,
AVCB0530,COBOL,AVCB0530COBOL,Actuarial,"Hutto, Amy",Y2KCOBOL,COPYBOOK,
AVCB0530,COBOL,AVCB0530COBOL,Actuarial,"Hutto, Amy",BPCCE2C0,COPYBOOK,
AVCB0530,COBOL,AVCB0530COBOL,Actuarial,"Hutto, Amy",UTCB9010,COBOL,STATIC
AVCB0530,COBOL,AVCB0530COBOL,Actuarial,"Hutto, Amy",DSTBLMAN,COBOL,DYNAMIC
AVCB0530,COBOL,AVCB0530COBOL,Actuarial,"Hutto, Amy",ABEND,COBOL,STATIC
AVCB0535,COBOL,AVCB0535COBOL,Actuarial,"Hutto, Amy",ANSWFILE,COPYBOOK,
AVCB0535,COBOL,AVCB0535COBOL,Actuarial,"Hutto, Amy",NYEXTR1I,COPYBOOK,
AVCB0535,COBOL,AVCB0535COBOL,Actuarial,"Hutto, Amy",NYEXTR1,COPYBOOK,
AVCB0535,COBOL,AVCB0535COBOL,Actuarial,"Hutto, Amy",DSTBLMAC,COPYBOOK,
AVCB0535,COBOL,AVCB0535COBOL,Actuarial,"Hutto, Amy",Y2KCOBOL,COPYBOOK,
AVCB0535,COBOL,AVCB0535COBOL,Actuarial,"Hutto, Amy",DSTBLMAN,COBOL,DYNAMIC
AVCB0535,COBOL,AVCB0535COBOL,Actuarial,"Hutto, Amy",ABEND,COBOL,STATIC
AVCB0535,COBOL,AVCB0535COBOL,Actuarial,"Hutto, Amy",UTCB9010,COBOL,STATIC
AVCB0540,COBOL,AVCB0540COBOL,Actuarial,"Hutto, Amy",AHRESVIN,COPYBOOK,
AVCB0540,COBOL,AVCB0540COBOL,Actuarial,"Hutto, Amy",AHRESOUT,COPYBOOK,
AVCB0550,COBOL,AVCB0550COBOL,Actuarial,"Hutto, Amy",AHUNERIN,COPYBOOK,
AVCB0550,COBOL,AVCB0550COBOL,Actuarial,"Hutto, Amy",AHUNEOUT,COPYBOOK,
AVCB0610,COBOL,AVCB0610COBOL,Actuarial,"Hutto, Amy",LONGPREM,COPYBOOK,
AVCB0610,COBOL,AVCB0610COBOL,Actuarial,"Hutto, Amy",CASHVALS,COPYBOOK,
AVCB0610,COBOL,AVCB0610COBOL,Actuarial,"Hutto, Amy",NYEXTR1I,COPYBOOK,
AVCB0610,COBOL,AVCB0610COBOL,Actuarial,"Hutto, Amy",NYEXTR1,COPYBOOK,
AVCB0610,COBOL,AVCB0610COBOL,Actuarial,"Hutto, Amy",DSTBLMAC,COPYBOOK,
AVCB0610,COBOL,AVCB0610COBOL,Actuarial,"Hutto, Amy",Y2KCOBOL,COPYBOOK,
AVCB0610,COBOL,AVCB0610COBOL,Actuarial,"Hutto, Amy",DSTBLMAN,COBOL,DYNAMIC
AVCB0610,COBOL,AVCB0610COBOL,Actuarial,"Hutto, Amy",ABEND,COBOL,STATIC
AVCB0610,COBOL,AVCB0610COBOL,Actuarial,"Hutto, Amy",UTCB9010,COBOL,STATIC
AVCB0620,COBOL,AVCB0620COBOL,Actuarial,"Hutto, Amy",LONGMID,COPYBOOK,
AVCB0620,COBOL,AVCB0620COBOL,Actuarial,"Hutto, Amy",CASHVALS,COPYBOOK,
AVCB0620,COBOL,AVCB0620COBOL,Actuarial,"Hutto, Amy",NYEXTR1I,COPYBOOK,
AVCB0620,COBOL,AVCB0620COBOL,Actuarial,"Hutto, Amy",NYEXTR1,COPYBOOK,
AVCB0620,COBOL,AVCB0620COBOL,Actuarial,"Hutto, Amy",DSTBLMAC,COPYBOOK,
AVCB0620,COBOL,AVCB0620COBOL,Actuarial,"Hutto, Amy",Y2KCOBOL,COPYBOOK,
AVCB0620,COBOL,AVCB0620COBOL,Actuarial,"Hutto, Amy",DSTBLMAN,COBOL,DYNAMIC
AVCB0620,COBOL,AVCB0620COBOL,Actuarial,"Hutto, Amy",ABEND,COBOL,STATIC
AVCB0620,COBOL,AVCB0620COBOL,Actuarial,"Hutto, Amy",UTCB9010,COBOL,STATIC
AVCB0630,COBOL,AVCB0630COBOL,Actuarial,"Hutto, Amy",ANSWFILE,COPYBOOK,
AVCB0630,COBOL,AVCB0630COBOL,Actuarial,"Hutto, Amy",NYEXTR1I,COPYBOOK,
AVCB0630,COBOL,AVCB0630COBOL,Actuarial,"Hutto, Amy",NYEXTR1,COPYBOOK,
AVCB0630,COBOL,AVCB0630COBOL,Actuarial,"Hutto, Amy",DSTBLMAC,COPYBOOK,
AVCB0630,COBOL,AVCB0630COBOL,Actuarial,"Hutto, Amy",Y2KCOBOL,COPYBOOK,
AVCB0630,COBOL,AVCB0630COBOL,Actuarial,"Hutto, Amy",DSTBLMAN,COBOL,DYNAMIC
AVCB0630,COBOL,AVCB0630COBOL,Actuarial,"Hutto, Amy",ABEND,COBOL,STATIC
AVCB0630,COBOL,AVCB0630COBOL,Actuarial,"Hutto, Amy",UTCB9010,COBOL,STATIC
AVCB0700,COBOL,AVCB0700COBOL,Actuarial,"Hutto, Amy",NYEXTR1I,COPYBOOK,
AVCB0700,COBOL,AVCB0700COBOL,Actuarial,"Hutto, Amy",NYEXTR1,COPYBOOK,
AVCB0700,COBOL,AVCB0700COBOL,Actuarial,"Hutto, Amy",DSTBLMAC,COPYBOOK,
AVCB0700,COBOL,AVCB0700COBOL,Actuarial,"Hutto, Amy",Y2KCOBOL,COPYBOOK,
AVCB0700,COBOL,AVCB0700COBOL,Actuarial,"Hutto, Amy",CMDATEC,COPYBOOK,
AVCB0700,COBOL,AVCB0700COBOL,Actuarial,"Hutto, Amy",DSTBLMAN,COBOL,DYNAMIC
AVCB0700,COBOL,AVCB0700COBOL,Actuarial,"Hutto, Amy",ABEND,COBOL,STATIC
AVCB0750,COBOL,AVCB0750COBOL,Actuarial,"Hutto, Amy",NYEXTR1I,COPYBOOK,
AVCB0750,COBOL,AVCB0750COBOL,Actuarial,"Hutto, Amy",NYEXTR1P,COPYBOOK,
AVCB0750,COBOL,AVCB0750COBOL,Actuarial,"Hutto, Amy",NYEXTR1,COPYBOOK,
AVCB0750,COBOL,AVCB0750COBOL,Actuarial,"Hutto, Amy",DSTBLMAC,COPYBOOK,
AVCB0750,COBOL,AVCB0750COBOL,Actuarial,"Hutto, Amy",Y2KCOBOL,COPYBOOK,
AVCB0750,COBOL,AVCB0750COBOL,Actuarial,"Hutto, Amy",CMDATEC,COPYBOOK,
AVCB0750,COBOL,AVCB0750COBOL,Actuarial,"Hutto, Amy",DSTBLMAN,COBOL,DYNAMIC
AVCB0750,COBOL,AVCB0750COBOL,Actuarial,"Hutto, Amy",ABEND,COBOL,STATIC
AVCB0760,COBOL,AVCB0760COBOL,Actuarial,"Hutto, Amy",NYEXTR1I,COPYBOOK,
AVCB0760,COBOL,AVCB0760COBOL,Actuarial,"Hutto, Amy",NYEXTR1,COPYBOOK,
AVCB0760,COBOL,AVCB0760COBOL,Actuarial,"Hutto, Amy",DSTBLMAC,COPYBOOK,
AVCB0760,COBOL,AVCB0760COBOL,Actuarial,"Hutto, Amy",Y2KCOBOL,COPYBOOK,
AVCB0760,COBOL,AVCB0760COBOL,Actuarial,"Hutto, Amy",CMDATEC,COPYBOOK,
AVCB0760,COBOL,AVCB0760COBOL,Actuarial,"Hutto, Amy",DSTBLMAN,COBOL,DYNAMIC
AVCB0760,COBOL,AVCB0760COBOL,Actuarial,"Hutto, Amy",ABEND,COBOL,STATIC
AVCB0770,COBOL,AVCB0770COBOL,Actuarial,"Hutto, Amy",NYEXTR1I,COPYBOOK,
AVCB0770,COBOL,AVCB0770COBOL,Actuarial,"Hutto, Amy",NYEXTR1P,COPYBOOK,
AVCB0770,COBOL,AVCB0770COBOL,Actuarial,"Hutto, Amy",NYEXTR1,COPYBOOK,
AVCB0770,COBOL,AVCB0770COBOL,Actuarial,"Hutto, Amy",Y2KCOBOL,COPYBOOK,
AVCB0770,COBOL,AVCB0770COBOL,Actuarial,"Hutto, Amy",CMDATEC,COPYBOOK,
AVCB0770,COBOL,AVCB0770COBOL,Actuarial,"Hutto, Amy",BPCCE2C0,COPYBOOK,
AVCB0770,COBOL,AVCB0770COBOL,Actuarial,"Hutto, Amy",UTCB9010,COBOL,STATIC
AVCB0770,COBOL,AVCB0770COBOL,Actuarial,"Hutto, Amy",CMCVDATE,COBOL,STATIC
AVCB0770,COBOL,AVCB0770COBOL,Actuarial,"Hutto, Amy",ABEND,COBOL,STATIC
AVCO0100,COBOL,AVCO0100COBOL,Actuarial,"Hutto, Amy",AVNYXREF,COPYBOOK,
AVCO0100,COBOL,AVCO0100COBOL,Actuarial,"Hutto, Amy",AVOM100,COPYBOOK,
AVCO0100,COBOL,AVCO0100COBOL,Actuarial,"Hutto, Amy",DFHAID,COPYBOOK,
AVCO0100,COBOL,AVCO0100COBOL,Actuarial,"Hutto, Amy",DFHBMSCA,COPYBOOK,
AVCO0100,COBOL,AVCO0100COBOL,Actuarial,"Hutto, Amy",AVOM100,MAPS,
AVCO0100,COBOL,AVCO0100COBOL,Actuarial,"Hutto, Amy",EDPI,TRANSACTION,DYNAMIC
AVCO0100,COBOL,AVCO0100COBOL,Actuarial,"Hutto, Amy",AVCO0110,COBOL,DYNAMIC
AVCO0110,COBOL,AVCO0110COBOL,Actuarial,"Hutto, Amy",AVNYXREF,COPYBOOK,
AVCO0110,COBOL,AVCO0110COBOL,Actuarial,"Hutto, Amy",AVOM110,COPYBOOK,
AVCO0110,COBOL,AVCO0110COBOL,Actuarial,"Hutto, Amy",DFHAID,COPYBOOK,
AVCO0110,COBOL,AVCO0110COBOL,Actuarial,"Hutto, Amy",DFHBMSCA,COPYBOOK,
AVCO0110,COBOL,AVCO0110COBOL,Actuarial,"Hutto, Amy",AVOM110,MAPS,
AVCO0110,COBOL,AVCO0110COBOL,Actuarial,"Hutto, Amy",AVCO0100,COBOL,DYNAMIC
COCB0060,COBOL,COCB0060COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",UUCC5071,COPYBOOK,
COCB0060,COBOL,COCB0060COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",ZZCC0901,COPYBOOK,
COCB0060,COBOL,COCB0060COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",ZZCC1301,COPYBOOK,
COCB0060,COBOL,COCB0060COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",ZZCC0001,COPYBOOK,
COCB0060,COBOL,COCB0060COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",ZZCC0601,COPYBOOK,
COCB0060,COBOL,COCB0060COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",ZZCC0801,COPYBOOK,
COCB0060,COBOL,COCB0060COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",ZZCU0006,COBOL,DYNAMIC
COCB0060,COBOL,COCB0060COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",ZZCU0009,COBOL,DYNAMIC
COCB0060,COBOL,COCB0060COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",ZZCU0013,COBOL,DYNAMIC
COCB0060,COBOL,COCB0060COBOL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",ZZCU0008,COBOL,DYNAMIC
CPCO0272,COBOL,CPCO0272COBOL,Policy Remarks,"Hutto, Amy",CLAIMREC,COPYBOOK,
CPCO0272,COBOL,CPCO0272COBOL,Policy Remarks,"Hutto, Amy",CMQODV,COPYBOOK,
CPCO0272,COBOL,CPCO0272COBOL,Policy Remarks,"Hutto, Amy",CMQMDV,COPYBOOK,
CPCO0272,COBOL,CPCO0272COBOL,Policy Remarks,"Hutto, Amy",CMQPMOV,COPYBOOK,
CPCO0272,COBOL,CPCO0272COBOL,Policy Remarks,"Hutto, Amy",CMQGMOV,COPYBOOK,
CPCO0272,COBOL,CPCO0272COBOL,Policy Remarks,"Hutto, Amy",CMQV,COPYBOOK,
CPCO0272,COBOL,CPCO0272COBOL,Policy Remarks,"Hutto, Amy",CMFINDTC,COPYBOOK,
CPCO0272,COBOL,CPCO0272COBOL,Policy Remarks,"Hutto, Amy",MQGET,COBOL,STATIC
CPCO0272,COBOL,CPCO0272COBOL,Policy Remarks,"Hutto, Amy",CPCO0050,COBOL,STATIC
CPCO0272,COBOL,CPCO0272COBOL,Policy Remarks,"Hutto, Amy",NPCO0700,COBOL,STATIC
CPCO0272,COBOL,CPCO0272COBOL,Policy Remarks,"Hutto, Amy",MQPUT1,COBOL,STATIC
CPCO0272,COBOL,CPCO0272COBOL,Policy Remarks,"Hutto, Amy",MQOPEN,COBOL,STATIC
CPCO0272,COBOL,CPCO0272COBOL,Policy Remarks,"Hutto, Amy",MQCLOSE,COBOL,STATIC
FGCB0020,COBOL,FGCB0020COBOL,Life 70 - General Accounting,"Hutto, Amy",UUCC5050,COPYBOOK,
FGCB0020,COBOL,FGCB0020COBOL,Life 70 - General Accounting,"Hutto, Amy",ZZCC1101,COPYBOOK,
FGCB0020,COBOL,FGCB0020COBOL,Life 70 - General Accounting,"Hutto, Amy",ZZCC1301,COPYBOOK,
FGCB0020,COBOL,FGCB0020COBOL,Life 70 - General Accounting,"Hutto, Amy",ZZCC0001,COPYBOOK,
FGCB0020,COBOL,FGCB0020COBOL,Life 70 - General Accounting,"Hutto, Amy",ZZCC0601,COPYBOOK,
FGCB0020,COBOL,FGCB0020COBOL,Life 70 - General Accounting,"Hutto, Amy",ZZCC0801,COPYBOOK,
FGCB0020,COBOL,FGCB0020COBOL,Life 70 - General Accounting,"Hutto, Amy",ZZCU0009,COBOL,DYNAMIC
FGCB0020,COBOL,FGCB0020COBOL,Life 70 - General Accounting,"Hutto, Amy",ZZCU0013,COBOL,DYNAMIC
FGCB0020,COBOL,FGCB0020COBOL,Life 70 - General Accounting,"Hutto, Amy",ZZCU0006,COBOL,DYNAMIC
FGCB0020,COBOL,FGCB0020COBOL,Life 70 - General Accounting,"Hutto, Amy",ZZCU0008,COBOL,DYNAMIC
FGCB0100,COBOL,FGCB0100COBOL,Life 70 - General Accounting,"Hutto, Amy",Y2KCOBOL,COPYBOOK,
FGCB0100,COBOL,FGCB0100COBOL,Life 70 - General Accounting,"Hutto, Amy",UTCB9010,COBOL,STATIC
FGCB0100,COBOL,FGCB0100COBOL,Life 70 - General Accounting,"Hutto, Amy",ABEND,COBOL,STATIC
IOCO0030,COBOL,IOCO0030COBOL,New Business Scorecard,"Hutto, Amy",MQPARM,COPYBOOK,
IOCO0030,COBOL,IOCO0030COBOL,New Business Scorecard,"Hutto, Amy",MBIERRWS,COPYBOOK,
IOCO0030,COBOL,IOCO0030COBOL,New Business Scorecard,"Hutto, Amy",MBIAREA,COPYBOOK,
IOCO0030,COBOL,IOCO0030COBOL,New Business Scorecard,"Hutto, Amy",U7SVC,COBOL,DYNAMIC
IOCO0030,COBOL,IOCO0030COBOL,New Business Scorecard,"Hutto, Amy",MQCO0004,COBOL,DYNAMIC
NPCB0014,COBOL,NPCB0014COBOL,Life 70 - Underwriting,"Hutto, Amy",NCMCCORR,COPYBOOK,
NPCB0014,COBOL,NPCB0014COBOL,Life 70 - Underwriting,"Hutto, Amy",SQLCA,DCLGEN,
NPCB0014,COBOL,NPCB0014COBOL,Life 70 - Underwriting,"Hutto, Amy",Y2KCOBOL,COPYBOOK,
NPCB0780,COBOL,NPCB0780COBOL,Life 70 - Underwriting,"Hutto, Amy",NFCCNAV0,COPYBOOK,
NPCB0780,COBOL,NPCB0780COBOL,Life 70 - Underwriting,"Hutto, Amy",NFCCNAV1,COPYBOOK,
NPCB0780,COBOL,NPCB0780COBOL,Life 70 - Underwriting,"Hutto, Amy",PMCCNAV0,COPYBOOK,
NPCB0780,COBOL,NPCB0780COBOL,Life 70 - Underwriting,"Hutto, Amy",PMCCNAV1,COPYBOOK,
NPCB0780,COBOL,NPCB0780COBOL,Life 70 - Underwriting,"Hutto, Amy",SQLCA,DCLGEN,
NPCB0780,COBOL,NPCB0780COBOL,Life 70 - Underwriting,"Hutto, Amy",ABEND,COBOL,STATIC
NPCB0780,COBOL,NPCB0780COBOL,Life 70 - Underwriting,"Hutto, Amy",NFCBNAV0,COBOL,DYNAMIC
NPCB0780,COBOL,NPCB0780COBOL,Life 70 - Underwriting,"Hutto, Amy",PMCBNAV0,COBOL,DYNAMIC
NPCB0780,COBOL,NPCB0780COBOL,Life 70 - Underwriting,"Hutto, Amy",CMFINDT,COBOL,STATIC
NPCB0805,COBOL,NPCB0805COBOL,Life 70 - Underwriting,"Hutto, Amy",SCUXRMKS,DCLGEN,
NPCB0805,COBOL,NPCB0805COBOL,Life 70 - Underwriting,"Hutto, Amy",UXCCBPD2,DCLGEN,
NPCB0805,COBOL,NPCB0805COBOL,Life 70 - Underwriting,"Hutto, Amy",UXCCBPGN,COPYBOOK,
NPCB0805,COBOL,NPCB0805COBOL,Life 70 - Underwriting,"Hutto, Amy",UXCCBPI2,COPYBOOK,
NPCB0805,COBOL,NPCB0805COBOL,Life 70 - Underwriting,"Hutto, Amy",UXCCBPWS,COPYBOOK,
NPCB0805,COBOL,NPCB0805COBOL,Life 70 - Underwriting,"Hutto, Amy",UXCCBPVS,COPYBOOK,
NPCB0805,COBOL,NPCB0805COBOL,Life 70 - Underwriting,"Hutto, Amy",UXCCRMKS,COPYBOOK,
NPCB0805,COBOL,NPCB0805COBOL,Life 70 - Underwriting,"Hutto, Amy",SBBO5900,COPYBOOK,
NPCB0805,COBOL,NPCB0805COBOL,Life 70 - Underwriting,"Hutto, Amy",SQLCA,DCLGEN,
NPCB0805,COBOL,NPCB0805COBOL,Life 70 - Underwriting,"Hutto, Amy",ABEND,COBOL,STATIC
NPCB0805,COBOL,NPCB0805COBOL,Life 70 - Underwriting,"Hutto, Amy",UXCUCOMP,COBOL,DYNAMIC
NPCB0805,COBOL,NPCB0805COBOL,Life 70 - Underwriting,"Hutto, Amy",UXCCRMKD,DCLGEN,STATIC
NPCB0805,COBOL,NPCB0805COBOL,Life 70 - Underwriting,"Hutto, Amy",UXCCRMKY,COPYBOOK,
NPCB0805,COBOL,NPCB0805COBOL,Life 70 - Underwriting,"Hutto, Amy",UXCCBPQB,DCLGEN,
NPCB0805,COBOL,NPCB0805COBOL,Life 70 - Underwriting,"Hutto, Amy",CEE3ABD,COBOL,STATIC
NPCB2010,COBOL,NPCB2010COBOL,Life 70 - Underwriting,"Hutto, Amy",CMFINDTC,COPYBOOK,
NPCB2010,COBOL,NPCB2010COBOL,Life 70 - Underwriting,"Hutto, Amy",VEAHATRL,COPYBOOK,
NPCB2010,COBOL,NPCB2010COBOL,Life 70 - Underwriting,"Hutto, Amy",VEAHCTRL,COPYBOOK,
NPCB2010,COBOL,NPCB2010COBOL,Life 70 - Underwriting,"Hutto, Amy",VEAHNTRL,COPYBOOK,
NPCB2010,COBOL,NPCB2010COBOL,Life 70 - Underwriting,"Hutto, Amy",VEAHPTRL,COPYBOOK,
